#Table1
u,g,r,i,z,redshift,class
24.24857,21.68495,20.45528,19.97905,19.67118,3.490268E-05,STAR
22.41195,22.22011,20.72367,19.87059,19.41477,0.5350522,GALAXY
26.33983,21.73464,20.01698,19.38736,18.94385,0.4075169,GALAXY
24.19286,22.20983,21.07948,19.94274,19.25987,0.6133803,GALAXY
19.29174,17.77633,17.14245,16.88806,16.74913,-2.791188E-05,STAR
18.65015,16.75544,15.99424,15.71494,15.58503,0.0001066802,STAR
19.23016,17.46111,16.68479,16.35664,16.1784,8.803884E-05,STAR
17.43358,17.81857,18.25114,18.57193,18.89722,5.343613E-05,STAR
20.6244,19.47523,18.96804,18.66734,18.48407,0.04054674,GALAXY
21.65468,19.21546,18.02639,17.52922,17.25331,9.345642E-05,STAR
18.29589,16.52947,15.61466,15.09457,14.63546,0.0406868,GALAXY
20.56224,17.99504,16.86986,16.45277,16.20638,1.800895E-05,STAR
20.49535,17.88457,16.7014,16.23406,15.98152,9.677671E-05,STAR
22.12829,20.17315,19.35799,19.04309,18.74891,-2.601409E-06,STAR
19.75261,18.42203,17.81067,17.55395,17.42079,0.000280062,STAR
22.94107,20.12692,18.54553,18.02682,17.6852,0.2680311,GALAXY
23.02695,20.30749,18.79955,18.24284,17.90032,0.2683336,GALAXY
26.06808,22.54014,20.85005,19.61935,19.18229,0.5733841,GALAXY
20.49454,19.39781,18.90783,18.61183,18.55121,0.1386051,GALAXY
22.00162,20.90603,19.74624,19.29193,18.91897,0.2671446,GALAXY
25.32921,22.40352,20.46547,19.56771,19.12136,0.5010045,GALAXY
23.43947,22.45726,21.93799,21.7978,21.62993,0.003118644,STAR
22.16501,21.18907,19.40717,18.72747,18.28658,0.4168315,GALAXY
23.43246,22.5078,22.2297,22.08863,21.97853,0.8280878,GALAXY
24.7763,21.94294,20.17159,19.52584,19.22484,0.4187244,GALAXY
23.24066,22.38647,20.94004,20.35439,20.05956,-0.0001136804,STAR
21.61861,19.84754,19.40439,19.16467,19.28289,0.1388552,GALAXY
23.37093,22.10966,21.685,21.50999,21.96276,-0.004020236,STAR
17.27455,16.14819,15.72749,15.57004,15.50722,5.192878E-05,STAR
24.29958,21.0653,19.12739,18.384,18.03806,0.4165141,GALAXY
17.97655,16.74161,16.26678,16.0925,16.02395,-4.574029E-05,STAR
17.32008,16.02088,15.51375,15.32299,15.25951,7.43573E-05,STAR
18.46397,16.68569,15.98719,15.73248,15.61455,-0.0001799881,STAR
17.35126,16.21682,15.83312,15.69623,15.64447,-0.0001144033,STAR
20.70915,18.04522,16.78319,16.29126,16.01707,-0.0001271623,STAR
22.73002,20.36308,18.88914,17.58363,16.85624,0.0001634895,STAR
23.396,20.05284,18.66665,18.02476,17.65357,6.372166E-05,STAR
21.08278,18.92605,17.92677,17.56554,17.27912,-0.0001845669,STAR
